replica,epoch,loss,base,ctr
0,1,1017.229828,1015.924742,1.305086
0,2,27.924527,26.942855,0.981672
0,3,7.250157,6.344148,0.906009
0,4,6.429554,5.600896,0.828658
0,5,6.123412,5.367669,0.755743
0,6,5.890496,5.202724,0.687772
0,7,5.680221,5.04817,0.632051
0,8,5.504305,4.92384,0.580465
0,9,5.338907,4.796467,0.54244
0,10,5.198551,4.686916,0.511634
0,11,5.080861,4.597194,0.483668
0,12,4.973349,4.512553,0.460797
0,13,4.869534,4.42829,0.441244
0,14,4.786634,4.362265,0.424369
0,15,4.705075,4.293067,0.412008
0,16,4.619985,4.221816,0.398169
0,17,4.554879,4.168861,0.386018
0,18,4.486116,4.108592,0.377524
0,19,4.425388,4.057244,0.368144
0,20,4.370396,4.009143,0.361253
0,21,4.303408,3.949618,0.35379
0,22,4.245895,3.899765,0.346131
0,23,4.199203,3.860446,0.338757
0,24,4.152192,3.818024,0.334168
0,25,4.103094,3.774309,0.328785
0,26,4.047752,3.722908,0.324845
0,27,4.013963,3.692484,0.321479
0,28,3.968875,3.6538,0.315075
0,29,3.928087,3.615182,0.312905
0,30,3.886929,3.578359,0.30857
0,31,3.848444,3.542276,0.306168
0,32,3.811854,3.509059,0.302795
0,33,3.779075,3.479013,0.300062
0,34,3.738311,3.44225,0.296061
0,35,3.703101,3.408807,0.294294
0,36,3.675947,3.384123,0.291824
0,37,3.638625,3.349961,0.288664
0,38,3.608259,3.321836,0.286423
0,39,3.579129,3.294613,0.284516
0,40,3.550008,3.267252,0.282757
0,41,3.51941,3.2396,0.27981
0,42,3.48892,3.210578,0.278343
0,43,3.463378,3.187936,0.275443
0,44,3.441895,3.167931,0.273964
0,45,3.409105,3.13517,0.273934
0,46,3.382087,3.110941,0.271146
0,47,3.360583,3.091194,0.269389
0,48,3.333045,3.065705,0.26734
0,49,3.310178,3.043619,0.266559
0,50,3.287778,3.02433,0.263448
0,51,3.256783,2.994989,0.261794
0,52,3.235033,2.973222,0.26181
0,53,3.212452,2.952602,0.25985
0,54,3.190227,2.932123,0.258105
0,55,3.165191,2.908176,0.257016
0,56,3.149191,2.894637,0.254554
0,57,3.127261,2.871905,0.255356
0,58,3.106103,2.852525,0.253579
0,59,3.087084,2.834487,0.252597
0,60,3.065181,2.81495,0.250231
0,61,3.05151,2.801836,0.249674
0,62,3.023793,2.775118,0.248674
0,63,3.001792,2.754571,0.247221
0,64,2.985435,2.739713,0.245722
0,65,2.721964,2.477362,0.244602
0,66,2.596476,2.354285,0.24219
0,67,2.569319,2.329958,0.23936
0,68,2.540034,2.303487,0.236547
0,69,2.519139,2.28433,0.234809
0,70,2.492825,2.260396,0.23243
0,71,2.467613,2.238235,0.229378
0,72,2.448077,2.219987,0.228089
0,73,2.428044,2.201782,0.226262
0,74,2.406792,2.182595,0.224197
0,75,2.385636,2.162562,0.223074
0,76,2.381916,2.161695,0.220221
0,77,2.353306,2.133047,0.220259
0,78,2.337901,2.119522,0.218379
0,79,2.315192,2.099153,0.216039
0,80,2.298631,2.083297,0.215335
0,81,2.280312,2.067265,0.213046
0,82,2.267725,2.056058,0.211667
0,83,2.247837,2.03878,0.209058
0,84,2.235666,2.027632,0.208034
0,85,2.225382,2.017715,0.207667
0,86,2.213457,2.006742,0.206715
0,87,2.193621,1.989397,0.204223
0,88,2.18076,1.976117,0.204644
0,89,2.163027,1.960284,0.202743
0,90,2.149399,1.94792,0.201478
0,91,2.142997,1.942947,0.20005
0,92,2.124637,1.926002,0.198635
0,93,2.115698,1.91827,0.197428
0,94,2.104368,1.907483,0.196885
0,95,2.098434,1.901928,0.196506
0,96,2.081659,1.887416,0.194243
0,97,2.082902,1.888714,0.194188
0,98,2.056893,1.862704,0.19419
0,99,2.054517,1.861874,0.192643
0,100,2.035973,1.844934,0.191039
0,101,2.022544,1.832,0.190544
0,102,2.020262,1.830913,0.189349
0,103,2.005497,1.817701,0.187796
0,104,1.99543,1.808411,0.187018
0,105,1.984632,1.797085,0.187547
0,106,1.979015,1.793746,0.185269
0,107,1.973113,1.788649,0.184464
0,108,1.956472,1.772312,0.18416
0,109,1.955692,1.772838,0.182854
0,110,1.943332,1.760947,0.182385
0,111,1.934343,1.752352,0.181991
0,112,1.922745,1.74247,0.180275
0,113,1.911575,1.731047,0.180528
0,114,1.910552,1.73105,0.179502
0,115,1.904857,1.725895,0.178962
0,116,1.890696,1.712787,0.17791
0,117,1.886321,1.7093,0.177021
0,118,1.873424,1.697633,0.175791
0,119,1.920349,1.744687,0.175662
0,120,2.190072,2.015215,0.174858
0,121,2.189615,2.014793,0.174822
0,122,2.111334,1.936985,0.17435
0,123,1.841718,1.66723,0.174488
0,124,1.831704,1.657924,0.17378
0,125,1.830521,1.656856,0.173665
0,126,1.820221,1.64769,0.172531
0,127,1.818888,1.646988,0.1719
0,128,1.810461,1.639228,0.171233
0,129,1.795489,1.625854,0.169635
0,130,1.788114,1.617571,0.170543
0,131,1.783473,1.61374,0.169733
0,132,1.776607,1.608183,0.168425
0,133,1.769872,1.602052,0.16782
0,134,1.761473,1.593541,0.167932
0,135,1.753767,1.586518,0.167249
0,136,1.756544,1.590229,0.166315
0,137,1.753449,1.58745,0.165999
0,138,1.739704,1.573961,0.165744
0,139,1.730656,1.565534,0.165122
0,140,1.720619,1.556607,0.164013
0,141,1.718226,1.555101,0.163125
0,142,1.711465,1.548695,0.16277
0,143,1.705337,1.542621,0.162716
0,144,1.700624,1.538345,0.162279
0,145,1.697764,1.536794,0.16097
0,146,1.691648,1.530004,0.161644
0,147,1.684547,1.52401,0.160537
0,148,1.680893,1.520002,0.160891
0,149,1.677827,1.518096,0.159731
0,150,1.666757,1.507118,0.159639
0,151,1.666024,1.50739,0.158634
0,152,1.65797,1.499108,0.158862
0,153,1.650296,1.491986,0.15831
0,154,1.645609,1.488739,0.156871
0,155,1.63781,1.481297,0.156513
0,156,1.671145,1.514148,0.156997
0,157,1.624056,1.467972,0.156084
0,158,1.622568,1.466783,0.155785
0,159,1.617774,1.462008,0.155766
0,160,1.616802,1.461715,0.155087
0,161,1.611672,1.457306,0.154366
0,162,1.610318,1.45674,0.153577
0,163,1.603707,1.450801,0.152906
0,164,1.594744,1.44089,0.153853
0,165,1.595173,1.442116,0.153057
0,166,1.592908,1.43993,0.152978
0,167,1.582979,1.430523,0.152456
0,168,1.579858,1.427084,0.152774
0,169,1.576577,1.425677,0.150901
0,170,1.571327,1.420334,0.150994
0,171,1.565151,1.414257,0.150894
0,172,1.573217,1.422921,0.150296
0,173,1.551606,1.401428,0.150178
0,174,1.55059,1.400455,0.150135
0,175,1.547753,1.397894,0.149859
0,176,1.541338,1.391615,0.149723
0,177,1.543489,1.394291,0.149198
0,178,1.536989,1.38819,0.148799
0,179,1.537411,1.388609,0.148801
0,180,1.533815,1.385641,0.148174
0,181,1.526084,1.378733,0.147351
0,182,1.524292,1.377215,0.147077
0,183,1.518307,1.370974,0.147332
0,184,1.517379,1.370048,0.147331
0,185,1.511263,1.364026,0.147236
0,186,1.508267,1.362236,0.146031
0,187,1.505423,1.359814,0.145609
0,188,1.502409,1.356361,0.146048
0,189,1.497852,1.351684,0.146168
0,190,1.49077,1.345477,0.145293
0,191,1.490729,1.346744,0.143985
0,192,1.486859,1.342513,0.144346
0,193,1.482599,1.338365,0.144234
0,194,1.477422,1.333092,0.14433
0,195,1.478344,1.334316,0.144028
0,196,1.470243,1.32662,0.143624
0,197,1.465771,1.322407,0.143364
0,198,1.467211,1.324105,0.143106
0,199,1.465234,1.322019,0.143215
0,200,1.456451,1.314202,0.142249
0,201,1.460103,1.317447,0.142656
0,202,1.464549,1.32273,0.141819
0,203,1.447654,1.305704,0.14195
0,204,1.443816,1.302854,0.140962
0,205,1.441678,1.299804,0.141874
0,206,1.444376,1.303605,0.140771
0,207,1.438026,1.297641,0.140385
0,208,1.435658,1.295046,0.140612
0,209,1.432647,1.29202,0.140627
0,210,1.433159,1.29251,0.140649
0,211,1.42841,1.288295,0.140115
0,212,1.42508,1.285082,0.139998
0,213,1.416316,1.276676,0.13964
0,214,1.41882,1.279718,0.139102
0,215,1.413919,1.27469,0.139229
0,216,1.412915,1.273425,0.13949
0,217,1.411007,1.272294,0.138713
0,218,1.403693,1.265033,0.138661
0,219,1.406163,1.267678,0.138485
0,220,1.40045,1.262032,0.138417
0,221,1.400158,1.261893,0.138265
0,222,1.39579,1.257765,0.138025
0,223,1.39527,1.257453,0.137817
0,224,1.391675,1.253733,0.137943
0,225,1.388866,1.251798,0.137068
0,226,1.38377,1.24707,0.136699
0,227,1.386676,1.249211,0.137465
0,228,1.381974,1.244878,0.137096
0,229,1.377106,1.241575,0.135531
0,230,1.376949,1.240342,0.136607
0,231,1.382908,1.246771,0.136137
0,232,1.366811,1.230329,0.136481
0,233,1.369607,1.233564,0.136043
0,234,1.366287,1.230521,0.135766
0,235,1.362544,1.226891,0.135653
0,236,1.361832,1.226111,0.135722
0,237,1.357287,1.221689,0.135598
0,238,1.357696,1.222335,0.135361
0,239,1.356316,1.22121,0.135106
0,240,1.350438,1.215342,0.135096
0,241,1.35188,1.216732,0.135148
0,242,1.351654,1.217112,0.134542
0,243,1.343363,1.208939,0.134424
0,244,1.342576,1.208248,0.134328
0,245,1.340603,1.207029,0.133575
0,246,1.338241,1.204826,0.133416
0,247,1.341286,1.207205,0.134082
0,248,1.333358,1.199737,0.133621
0,249,1.33467,1.200808,0.133863
0,250,1.325395,1.192613,0.132782
0,251,1.330971,1.197418,0.133553
0,252,1.326838,1.194408,0.13243
0,253,1.320208,1.188111,0.132097
0,254,1.323737,1.190958,0.13278
0,255,1.322307,1.189322,0.132985
0,256,1.320583,1.18779,0.132793
0,257,1.311974,1.179396,0.132578
0,258,1.311298,1.178736,0.132562
0,259,1.307045,1.175035,0.13201
0,260,1.311157,1.179927,0.13123
0,261,1.308159,1.175585,0.132574
0,262,1.303392,1.172291,0.131101
0,263,1.306394,1.174657,0.131737
0,264,1.298786,1.168059,0.130727
0,265,1.298363,1.166817,0.131547
0,266,1.296667,1.165514,0.131152
0,267,1.297782,1.166912,0.13087
0,268,1.295134,1.164014,0.13112
0,269,1.296122,1.165075,0.131047
0,270,1.29296,1.162548,0.130412
0,271,1.288755,1.157876,0.130879
0,272,1.286994,1.156259,0.130735
0,273,1.286263,1.155541,0.130722
0,274,1.284165,1.154024,0.130142
0,275,1.283736,1.153644,0.130092
0,276,1.28511,1.154972,0.130138
0,277,1.277531,1.148137,0.129395
0,278,1.276456,1.146444,0.130011
0,279,1.277173,1.147745,0.129428
0,280,1.274788,1.145527,0.129261
0,281,1.275569,1.146069,0.129501
0,282,1.269176,1.140023,0.129153
0,283,1.270447,1.141182,0.129266
0,284,1.269318,1.140027,0.129291
0,285,1.262158,1.132809,0.12935
0,286,1.265401,1.136082,0.129318
0,287,1.265849,1.137412,0.128436
0,288,1.262599,1.133777,0.128822
0,289,1.303362,1.174934,0.128429
0,290,1.252432,1.123885,0.128547
0,291,1.254087,1.125788,0.1283
0,292,1.258493,1.130449,0.128044
0,293,1.249758,1.121269,0.128489
0,294,1.250884,1.123264,0.12762
0,295,1.254318,1.126954,0.127364
0,296,1.250104,1.122239,0.127865
0,297,1.242314,1.114905,0.127409
0,298,1.240526,1.113546,0.12698
0,299,1.245959,1.118265,0.127693
0,300,1.244505,1.11709,0.127415
1,1,1687.02966,1685.838938,1.190718
1,2,38.607098,37.671589,0.935509
1,3,10.045455,9.196401,0.849054
1,4,6.901926,6.118452,0.783474
1,5,6.408418,5.677922,0.730495
1,6,6.142125,5.461658,0.680467
1,7,5.942012,5.303393,0.638618
1,8,5.77752,5.179437,0.598083
1,9,5.638366,5.072117,0.566249
1,10,5.521657,4.98246,0.539197
1,11,5.422143,4.909341,0.512802
1,12,5.331932,4.8357,0.496232
1,13,5.241114,4.763864,0.47725
1,14,5.173278,4.709793,0.463485
1,15,5.096079,4.645704,0.450375
1,16,5.02661,4.589421,0.437188
1,17,4.964402,4.535009,0.429393
1,18,4.906214,4.488493,0.417721
1,19,4.845838,4.434485,0.411354
1,20,4.793384,4.39131,0.402074
1,21,4.741844,4.346784,0.39506
1,22,4.688178,4.300826,0.387352
1,23,4.640939,4.260856,0.380083
1,24,4.592612,4.217634,0.374977
1,25,4.542102,4.174576,0.367526
1,26,4.505982,4.139891,0.366091
1,27,4.460532,4.100883,0.359649
1,28,4.42179,4.06516,0.35663
1,29,4.390591,4.036675,0.353916
1,30,4.341378,3.992606,0.348772
1,31,4.311101,3.966375,0.344725
1,32,4.269413,3.927758,0.341655
1,33,4.235091,3.897103,0.337987
1,34,4.206727,3.870453,0.336274
1,35,4.176038,3.843747,0.332291
1,36,4.132156,3.80199,0.330165
1,37,4.101717,3.774631,0.327086
1,38,4.074222,3.748813,0.32541
1,39,4.046429,3.725002,0.321427
1,40,4.022301,3.702687,0.319614
1,41,3.986314,3.668061,0.318253
1,42,3.963838,3.648825,0.315014
1,43,3.929997,3.617007,0.31299
1,44,3.904947,3.594192,0.310755
1,45,3.888382,3.578185,0.310197
1,46,3.847778,3.540263,0.307515
1,47,3.829035,3.523587,0.305447
1,48,3.808726,3.504302,0.304424
1,49,3.781359,3.478417,0.302942
1,50,3.751781,3.451127,0.300654
1,51,3.727637,3.429348,0.298289
1,52,3.7084,3.410358,0.298042
1,53,3.678477,3.382373,0.296104
1,54,3.659845,3.365531,0.294313
1,55,3.639053,3.34632,0.292733
1,56,3.616761,3.325476,0.291286
1,57,3.59161,3.30145,0.29016
1,58,3.578651,3.288236,0.290416
1,59,3.549001,3.262019,0.286981
1,60,3.531296,3.244509,0.286787
1,61,3.507185,3.221078,0.286107
1,62,3.488098,3.203445,0.284653
1,63,3.472552,3.189314,0.283238
1,64,3.450338,3.167919,0.28242
1,65,3.419196,3.138064,0.281132
1,66,3.410235,3.12948,0.280754
1,67,3.388881,3.110357,0.278524
1,68,3.37591,3.097576,0.278334
1,69,3.354273,3.076888,0.277385
1,70,3.33157,3.055783,0.275787
1,71,3.322336,3.046696,0.275639
1,72,2.942034,2.667474,0.27456
1,73,2.807306,2.534844,0.272461
1,74,2.791485,2.520955,0.270529
1,75,2.769185,2.500654,0.268531
1,76,2.747298,2.481238,0.266061
1,77,2.725274,2.460808,0.264467
1,78,2.698337,2.436189,0.262148
1,79,2.683908,2.422571,0.261337
1,80,2.664955,2.404632,0.260322
1,81,2.648553,2.390293,0.25826
1,82,2.631088,2.373078,0.25801
1,83,2.608896,2.352007,0.256889
1,84,2.587809,2.332893,0.254916
1,85,2.579121,2.325194,0.253926
1,86,2.558096,2.305019,0.253077
1,87,2.548765,2.297064,0.251701
1,88,2.525559,2.274625,0.250934
1,89,2.509719,2.260219,0.2495
1,90,2.495487,2.247106,0.248382
