step,eps_ate,pehe,co2_kg
245,0.337028,3.289535,
246,0.136733,0.804421,
247,0.069844,0.516346,
248,0.136068,0.624668,
249,0.401810,0.869669,
250,0.136404,0.907914,
251,0.030233,0.660411,
252,0.022860,0.632306,
253,0.385838,0.647149,
254,0.297468,2.407390,
255,1.521648,7.081936,
256,0.130527,0.743807,
257,0.121791,1.637975,
258,0.227136,0.633486,
259,0.014555,0.608585,
260,0.274651,0.512810,
261,0.257354,0.638357,
262,0.080707,0.974739,
263,0.004583,0.692543,
264,0.112806,0.534600,
265,0.101957,0.651095,
266,0.279989,0.903362,
267,0.324337,1.818512,
268,0.133475,0.518339,
269,0.009173,0.573440,
270,0.014138,0.420769,
271,0.057301,0.457950,
272,0.303113,0.461850,
273,0.082611,0.522880,
274,0.293433,0.496262,
275,0.077958,0.522413,
276,0.014030,1.906318,
277,0.122560,0.709241,
278,0.020592,0.445347,
279,0.292745,0.562091,
280,0.223173,1.131104,
281,0.173061,1.126763,
282,0.274784,1.884401,
283,0.177312,0.858279,
284,0.151080,0.675733,
285,0.013327,0.331929,
286,0.194486,0.683082,
287,0.076546,0.485570,
288,0.034310,1.123419,
289,0.153712,0.440145,
290,0.036807,0.490401,
291,0.087445,0.789379,
292,0.225954,0.760027,
293,0.078004,1.005232,
294,0.135819,0.405977,
295,0.005163,0.510184,
296,0.013072,1.280218,
297,0.172047,0.504187,
298,0.041869,0.857321,
299,0.125602,0.445465,
300,0.209494,0.509586,
301,0.061914,0.568357,
302,0.082637,0.754373,
303,0.199368,0.724348,
304,0.143025,0.484594,
305,0.250719,0.586215,
306,0.011034,0.609203,
307,0.122271,0.689932,
308,0.275464,1.413998,
309,0.031027,0.666642,
310,0.098038,1.329864,
311,0.196763,1.414865,
312,0.260603,1.866153,
313,0.156507,0.528301,
314,0.098435,0.790365,
315,0.062983,0.847759,
316,0.303600,0.715143,
317,0.035933,0.602806,
318,0.109893,0.466838,
319,0.119354,1.039329,
320,0.086950,1.783527,
321,0.196933,0.914762,
322,0.018228,0.471634,
323,0.247809,1.195730,
324,0.553160,0.769755,
325,0.308538,0.557184,
326,0.532534,0.792580,
327,0.066581,0.724767,
328,0.352760,0.690980,
329,0.209617,2.973942,
330,0.420567,1.287178,
331,0.040509,0.910643,
332,0.303350,0.734252,
333,0.130149,1.092840,
334,0.245099,0.526749,
335,0.044752,0.802617,
336,0.071623,0.678341,
337,0.024489,0.913576,
338,0.031704,1.714226,
339,0.270770,0.824656,
340,0.110357,0.329717,
341,0.025795,4.310602,
342,0.267668,0.687009,
343,0.468947,0.955146,
344,0.225781,1.478714,
345,2.152049,9.158200,
346,0.006782,1.821439,
347,0.462038,1.485489,
348,0.330668,1.250661,
349,0.045699,0.577375,
350,0.093822,0.882403,
351,0.087775,1.598973,
352,0.096174,0.692579,
353,0.006207,0.676355,
354,0.047974,0.953760,
355,0.153170,0.492869,
356,0.309501,0.608795,
357,0.091447,1.956057,
358,0.274954,0.833142,
359,0.251551,0.882553,
360,0.128189,0.542397,
361,0.268362,1.323700,
362,0.010935,3.645778,
363,0.276094,0.968282,
364,0.141175,0.533223,
365,0.255665,0.738580,
366,0.039970,0.836074,
367,0.072825,0.606039,
368,0.095369,0.703040,
369,0.078794,0.530897,
370,0.021450,1.049875,
371,0.003764,0.832114,
372,0.258028,0.746625,
373,0.380509,1.109722,
374,0.162967,1.877372,
375,0.162797,0.473802,
376,0.477591,0.821915,
377,0.030757,0.598111,
378,0.101706,0.474397,
379,0.066426,0.371295,
380,0.209502,0.663002,
381,0.064650,0.534259,
382,0.231085,0.520236,
383,0.469793,2.349329,
384,0.072407,0.473944,
385,0.282672,1.258038,
386,0.321710,2.850154,
387,0.194217,2.338177,
388,0.130033,0.637177,
389,0.363493,0.685982,
390,0.048552,0.630093,
391,0.176730,1.013267,
392,0.454572,0.987738,
393,0.293127,1.396153,
394,0.244115,0.907497,
395,0.238118,0.750173,
396,0.072701,0.520097,
397,0.022231,0.531494,
398,0.066303,0.715866,
399,0.245349,0.736689,
400,0.184215,0.775820,
401,0.207478,0.711649,
402,0.108906,1.530885,
403,0.005744,0.647837,
404,0.360147,0.623089,
405,0.028364,0.628572,
406,0.119682,0.562576,
407,0.083971,0.425194,
408,0.032839,0.520372,
409,0.105480,0.767346,
410,0.224870,0.654162,
411,0.629359,1.300201,
412,0.060518,0.610163,
413,0.000555,1.125034,
414,0.131342,0.651406,
415,0.072522,0.672465,
416,0.693500,4.605650,
417,0.110293,0.755532,
418,0.161819,0.565525,
419,0.157501,0.946264,
420,0.105292,0.765409,
421,0.003723,0.489267,
422,0.272510,0.943746,
423,0.069653,0.613074,
424,0.186247,0.470954,
425,0.190537,0.575673,
426,0.097520,0.555279,
427,0.020636,0.849952,
428,0.222761,1.005225,
429,0.030610,0.709508,
430,0.054104,0.572220,
431,0.272724,1.022195,
432,0.186948,0.866422,
433,0.075549,0.546578,
434,0.191583,1.068659,
435,2.570648,6.809956,
436,0.291234,0.895711,
437,0.206972,1.590872,
438,1.027680,1.909606,
439,0.146946,1.123946,
440,0.299619,1.603139,
441,0.499948,1.745833,
442,0.108272,0.565912,
443,0.328931,0.705182,
444,0.354688,0.642883,
445,0.019516,0.694406,
446,0.116933,0.766264,
447,0.098827,0.899737,
448,0.065896,0.525230,
449,0.170418,1.048316,
450,0.116813,0.981179,
451,0.070328,0.987448,
452,0.229986,0.764849,
453,0.128877,0.905381,
454,0.251016,0.674455,
455,0.058706,0.821677,
456,0.338043,1.082368,
457,0.108189,0.540303,
458,0.019579,0.752923,
459,0.230361,0.855465,
460,0.129553,0.564666,
461,0.102194,0.554496,
462,0.180862,0.853479,
463,0.152222,0.739876,
464,0.033044,0.551027,
465,0.050662,0.793710,
466,0.016838,0.487763,
467,0.167415,0.889247,
468,0.023149,0.657842,
469,0.097794,3.510398,
470,0.440925,1.041659,
