replica,epoch,loss,base,ctr
0,1,1017.229828,1015.924742,1.305086
0,2,27.924527,26.942855,0.981672
0,3,7.250157,6.344148,0.906009
0,4,6.429554,5.600896,0.828658
0,5,6.123412,5.367669,0.755743
0,6,5.890496,5.202724,0.687772
0,7,5.680221,5.04817,0.632051
0,8,5.504305,4.92384,0.580465
0,9,5.338907,4.796467,0.54244
0,10,5.198551,4.686916,0.511634
0,11,5.080861,4.597194,0.483668
0,12,4.973349,4.512553,0.460797
0,13,4.869534,4.42829,0.441244
0,14,4.786634,4.362265,0.424369
0,15,4.705075,4.293067,0.412008
0,16,4.619985,4.221816,0.398169
0,17,4.554879,4.168861,0.386018
0,18,4.486116,4.108592,0.377524
0,19,4.425388,4.057244,0.368144
0,20,4.370396,4.009143,0.361253
0,21,4.303408,3.949618,0.35379
0,22,4.245895,3.899765,0.346131
0,23,4.199203,3.860446,0.338757
0,24,4.152192,3.818024,0.334168
0,25,4.103094,3.774309,0.328785
0,26,4.047752,3.722908,0.324845
0,27,4.013963,3.692484,0.321479
0,28,3.968875,3.6538,0.315075
0,29,3.928087,3.615182,0.312905
0,30,3.886929,3.578359,0.30857
0,31,3.848444,3.542276,0.306168
0,32,3.811854,3.509059,0.302795
0,33,3.779075,3.479013,0.300062
0,34,3.738311,3.44225,0.296061
0,35,3.703101,3.408807,0.294294
0,36,3.675947,3.384123,0.291824
0,37,3.638625,3.349961,0.288664
0,38,3.608259,3.321836,0.286423
0,39,3.579129,3.294613,0.284516
0,40,3.550008,3.267252,0.282757
0,41,3.51941,3.2396,0.27981
0,42,3.48892,3.210578,0.278343
0,43,3.463378,3.187936,0.275443
0,44,3.441895,3.167931,0.273964
0,45,3.409105,3.13517,0.273934
0,46,3.382087,3.110941,0.271146
0,47,3.360583,3.091194,0.269389
0,48,3.333045,3.065705,0.26734
0,49,3.310178,3.043619,0.266559
0,50,3.287778,3.02433,0.263448
1,1,1641.219619,1640.145741,1.073877
1,2,36.318826,35.500786,0.818041
1,3,8.060135,7.322576,0.73756
1,4,7.040231,6.348486,0.691745
1,5,6.533667,5.884143,0.649523
1,6,6.261265,5.643618,0.617647
1,7,6.057249,5.47564,0.581609
1,8,5.902815,5.349732,0.553083
1,9,5.770703,5.239856,0.530847
1,10,5.651439,5.141771,0.509668
1,11,5.548995,5.058077,0.490918
1,12,5.451184,4.978317,0.472867
1,13,5.365002,4.903167,0.461835
1,14,5.287934,4.839978,0.447956
1,15,5.200335,4.764691,0.435644
1,16,5.132405,4.707224,0.42518
1,17,5.065518,4.648963,0.416555
1,18,5.000344,4.593046,0.407298
1,19,4.94217,4.540823,0.401346
1,20,4.879098,4.486362,0.392736
1,21,4.824803,4.43965,0.385153
1,22,4.769524,4.389645,0.379879
1,23,4.722129,4.349667,0.372462
1,24,4.674187,4.306101,0.368086
1,25,4.626731,4.264672,0.362059
1,26,4.579865,4.224131,0.355734
1,27,4.531979,4.179172,0.352806
1,28,4.49082,4.143768,0.347052
1,29,4.448739,4.106052,0.342687
1,30,4.412463,4.073861,0.338602
1,31,4.370103,4.03373,0.336373
1,32,4.332281,4.000499,0.331782
1,33,4.299374,3.968231,0.331143
1,34,4.264952,3.940026,0.324926
1,35,4.223503,3.901652,0.321851
1,36,4.182913,3.863934,0.318979
1,37,4.150617,3.832789,0.317828
1,38,4.12457,3.80944,0.315131
1,39,4.087393,3.776399,0.310993
1,40,4.062839,3.752955,0.309884
1,41,4.029414,3.721619,0.307794
1,42,3.994338,3.689421,0.304917
1,43,3.97093,3.668093,0.302837
1,44,3.935471,3.635311,0.30016
1,45,3.914433,3.61541,0.299023
1,46,3.884532,3.587539,0.296993
1,47,3.857393,3.562499,0.294894
1,48,3.833201,3.53887,0.294331
1,49,3.804247,3.513229,0.291018
1,50,3.780283,3.49019,0.290093
2,1,1168.121444,1167.099796,1.021647
2,2,24.216838,23.365124,0.851715
2,3,8.288463,7.497689,0.790775
2,4,6.905645,6.162197,0.743448
2,5,6.529065,5.836425,0.692639
2,6,6.261317,5.614461,0.646856
2,7,6.020857,5.417795,0.603062
2,8,5.835589,5.272245,0.563344
2,9,5.674432,5.143506,0.530926
2,10,5.529376,5.024538,0.504837
2,11,5.408972,4.927004,0.481968
2,12,5.287994,4.826786,0.461208
2,13,5.191877,4.747744,0.444133
2,14,5.105368,4.676922,0.428446
2,15,5.028663,4.612407,0.416256
2,16,4.932708,4.53194,0.400768
2,17,4.870634,4.479893,0.390741
2,18,4.800363,4.417199,0.383164
2,19,4.125273,3.753305,0.371968
2,20,3.935372,3.577541,0.357831
2,21,3.865401,3.518356,0.347045
2,22,3.809253,3.473827,0.335426
2,23,3.756279,3.428731,0.327547
2,24,3.695487,3.375838,0.31965
2,25,3.652598,3.341107,0.311491
2,26,3.627082,3.321719,0.305364
2,27,3.562957,3.263479,0.299478
2,28,3.521316,3.227811,0.293505
2,29,3.47835,3.188571,0.289779
2,30,3.444947,3.15982,0.285127
2,31,3.409148,3.128122,0.281026
2,32,3.393407,3.115763,0.277645
2,33,3.345072,3.070157,0.274915
2,34,3.305851,3.034467,0.271383
2,35,3.273508,3.00505,0.268458
2,36,3.249104,2.983927,0.265177
2,37,3.207399,2.944419,0.262981
2,38,3.184222,2.92344,0.260782
2,39,3.158969,2.899993,0.258975
2,40,3.126036,2.870245,0.255791
2,41,3.109755,2.856032,0.253723
2,42,3.07309,2.821916,0.251174
2,43,3.047273,2.798817,0.248456
2,44,3.027071,2.779083,0.247988
2,45,2.996077,2.74956,0.246516
2,46,2.986183,2.741473,0.244709
2,47,2.957486,2.714645,0.24284
2,48,2.995467,2.752806,0.242661
2,49,2.907759,2.666994,0.240765
2,50,2.89196,2.65328,0.23868
3,1,4422.160154,4420.75197,1.408175
3,2,57.353704,56.323807,1.029896
3,3,10.313281,9.386366,0.926915
3,4,7.981141,7.113836,0.867305
3,5,7.386339,6.57273,0.813609
3,6,7.133632,6.35905,0.774583
3,7,6.927681,6.194854,0.732826
3,8,6.756986,6.058508,0.698479
3,9,6.613671,5.946806,0.666865
3,10,6.494159,5.852508,0.641651
3,11,6.391315,5.768036,0.623279
3,12,6.291146,5.690816,0.60033
3,13,6.204547,5.619989,0.584558
3,14,6.123697,5.557095,0.566602
3,15,6.050294,5.499701,0.550593
3,16,5.982833,5.446425,0.536408
3,17,5.918078,5.394015,0.524062
3,18,5.858379,5.346876,0.511503
3,19,5.806203,5.30208,0.504123
3,20,5.742781,5.251159,0.491622
3,21,5.699708,5.216712,0.482996
3,22,5.647071,5.172435,0.474637
3,23,5.599372,5.131903,0.467469
3,24,5.563506,5.104006,0.4595
3,25,5.512295,5.062375,0.44992
3,26,5.463172,5.016732,0.44644
3,27,5.427588,4.990169,0.437419
3,28,5.388933,4.955717,0.433216
3,29,5.344805,4.917853,0.426952
3,30,5.31669,4.895184,0.421506
3,31,5.278044,4.862417,0.415627
3,32,5.245716,4.835359,0.410357
3,33,5.209021,4.802002,0.407019
3,34,5.177059,4.772605,0.404455
3,35,5.146793,4.749158,0.397635
3,36,5.113491,4.717505,0.395985
3,37,5.082342,4.691939,0.390403
3,38,5.050111,4.662493,0.387618
3,39,5.018618,4.636142,0.382476
3,40,4.989497,4.609175,0.380322
3,41,4.961268,4.58537,0.375899
3,42,4.925653,4.555583,0.370069
3,43,4.898425,4.529329,0.369096
3,44,4.881585,4.513997,0.367587
3,45,4.847445,4.48333,0.364114
3,46,4.817091,4.457526,0.359564
3,47,4.793062,4.437396,0.355666
3,48,4.765329,4.411531,0.353799
3,49,4.743508,4.390382,0.353125
3,50,4.727386,4.377687,0.349699
4,1,4003.350719,4001.792489,1.558228
4,2,60.458597,59.215434,1.243163
4,3,15.334729,14.227588,1.107141
4,4,7.761679,6.747608,1.014071
4,5,6.97461,6.0434,0.93121
4,6,6.70803,5.83993,0.8681
4,7,6.49145,5.679681,0.811769
4,8,6.329717,5.56703,0.762688
4,9,6.193528,5.4713,0.722228
4,10,6.079125,5.39034,0.688785
4,11,5.295273,4.638333,0.65694
4,12,4.687026,4.070372,0.616655
4,13,4.609464,4.027198,0.582266
4,14,4.518871,3.963538,0.555333
4,15,4.452005,3.921434,0.530571
4,16,4.394433,3.88868,0.505752
4,17,4.337193,3.845302,0.491891
4,18,4.276744,3.803491,0.473253
4,19,4.224591,3.764775,0.459817
4,20,4.175708,3.729156,0.446551
4,21,4.138275,3.701618,0.436658
4,22,4.091778,3.667156,0.424622
4,23,4.059966,3.64603,0.413936
4,24,4.013926,3.608651,0.405275
4,25,3.98117,3.584123,0.397047
4,26,3.942382,3.553861,0.388521
4,27,3.91086,3.528571,0.382289
4,28,3.881247,3.505183,0.376064
4,29,3.83905,3.46991,0.36914
4,30,3.817295,3.454701,0.362594
4,31,3.780205,3.424464,0.355741
4,32,3.758665,3.406388,0.352276
4,33,3.729521,3.382666,0.346855
4,34,3.700564,3.358874,0.34169
4,35,3.673434,3.337236,0.336198
4,36,3.651091,3.317502,0.333589
4,37,3.622766,3.293368,0.329397
4,38,3.600382,3.273847,0.326535
4,39,3.577814,3.256374,0.321441
4,40,3.555797,3.237302,0.318495
4,41,3.529738,3.215658,0.31408
4,42,3.513367,3.200411,0.312956
4,43,3.486249,3.17744,0.308809
4,44,3.465012,3.160406,0.304606
4,45,3.446585,3.14421,0.302375
4,46,3.420846,3.122293,0.298553
4,47,3.412138,3.115671,0.296467
4,48,3.383738,3.089021,0.294717
4,49,3.364919,3.07206,0.292859
4,50,3.344638,3.055779,0.288859
5,1,850.60309,849.68534,0.917752
5,2,14.364394,13.632658,0.731736
5,3,6.873849,6.187519,0.68633
5,4,6.196584,5.54408,0.652504
5,5,5.853569,5.247841,0.605728
5,6,5.59178,5.025749,0.566031
5,7,5.395534,4.864915,0.530618
5,8,5.238187,4.737009,0.501178
5,9,5.099269,4.624103,0.475166
5,10,4.978074,4.53049,0.447584
5,11,4.872882,4.442867,0.430015
5,12,4.771413,4.358276,0.413137
5,13,4.68117,4.283059,0.39811
5,14,4.603057,4.217571,0.385486
5,15,4.517263,4.142448,0.374815
5,16,4.450585,4.087404,0.363181
5,17,4.385007,4.028758,0.356249
5,18,4.321874,3.974475,0.347399
5,19,4.263914,3.924514,0.339401
5,20,4.206269,3.873212,0.333057
5,21,4.151169,3.823371,0.327798
5,22,4.097423,3.774927,0.322496
5,23,4.055897,3.73855,0.317347
5,24,4.005874,3.693515,0.312359
5,25,3.966897,3.658522,0.308374
5,26,3.920468,3.61549,0.304978
5,27,3.882322,3.581526,0.300796
5,28,3.828136,3.52972,0.298417
5,29,3.647455,3.352002,0.295453
5,30,3.263841,2.973777,0.290064
5,31,3.226549,2.941936,0.284613
5,32,3.17887,2.899872,0.278998
5,33,3.143379,2.868927,0.274452
5,34,3.102478,2.833014,0.269463
5,35,3.070539,2.804546,0.265993
5,36,3.031398,2.768933,0.262465
5,37,2.991671,2.733205,0.258466
5,38,2.963333,2.705727,0.257606
5,39,2.9447,2.691123,0.253577
5,40,2.898102,2.647498,0.250604
5,41,2.871979,2.623638,0.248341
5,42,2.847602,2.600407,0.247195
5,43,2.819898,2.575331,0.244567
5,44,2.802034,2.559483,0.242551
5,45,2.769719,2.530316,0.239403
5,46,2.763209,2.524563,0.238646
5,47,2.717835,2.480058,0.237778
5,48,2.702097,2.466633,0.235464
5,49,2.67844,2.444374,0.234066
5,50,2.666259,2.434623,0.231636
6,1,613.638934,612.46977,1.169165
6,2,18.52256,17.579573,0.942987
6,3,7.612573,6.753745,0.858828
6,4,6.587521,5.798479,0.789042
6,5,6.24319,5.514531,0.728658
6,6,5.996879,5.324888,0.671991
6,7,5.773775,5.154219,0.619556
6,8,5.582198,5.008563,0.573635
6,9,5.429719,4.887564,0.542154
6,10,5.285994,4.773156,0.512838
6,11,5.156275,4.671042,0.485234
6,12,5.036715,4.573405,0.46331
6,13,4.932099,4.487273,0.444825
6,14,4.835319,4.408694,0.426625
6,15,4.748285,4.333857,0.414428
6,16,4.663013,4.261284,0.401728
6,17,4.585111,4.193916,0.391195
6,18,4.511474,4.129761,0.381713
6,19,4.440489,4.066776,0.373714
6,20,4.373645,4.009373,0.364271
6,21,4.310907,3.952061,0.358846
6,22,4.253061,3.8995,0.353561
6,23,4.195327,3.847706,0.347622
6,24,4.144429,3.802708,0.341722
6,25,4.090293,3.752513,0.33778
6,26,4.033678,3.701584,0.332094
6,27,3.99687,3.667671,0.3292
6,28,3.946357,3.620577,0.325779
6,29,3.901891,3.580493,0.321398
6,30,3.860815,3.541653,0.319162
6,31,3.816635,3.498866,0.317769
6,32,3.77515,3.462414,0.312736
6,33,3.745248,3.433538,0.31171
6,34,3.697199,3.38746,0.309739
6,35,3.663884,3.358296,0.305588
6,36,3.62611,3.322141,0.303969
6,37,3.583431,3.282409,0.301021
6,38,3.558032,3.258138,0.299894
6,39,3.520134,3.222427,0.297707
6,40,3.491138,3.195989,0.295149
6,41,3.463661,3.169429,0.294231
6,42,3.423704,3.13254,0.291164
6,43,3.398802,3.108347,0.290455
6,44,3.256221,2.966333,0.289888
6,45,2.907928,2.621887,0.286041
6,46,2.872049,2.587911,0.284138
6,47,2.843748,2.562333,0.281415
6,48,2.806285,2.526655,0.27963
6,49,2.79027,2.512019,0.278251
6,50,2.741593,2.465428,0.276165
7,1,1953.368743,1952.188791,1.179956
7,2,57.058469,56.075212,0.983257
7,3,10.641213,9.75571,0.885503
7,4,7.445766,6.61768,0.828086
7,5,6.86709,6.087823,0.779267
7,6,6.576089,5.851181,0.724909
7,7,6.343666,5.664456,0.67921
7,8,6.155535,5.515532,0.640003
7,9,6.000445,5.394313,0.606132
7,10,5.855605,5.279469,0.576137
7,11,5.742617,5.190493,0.552124
7,12,5.636531,5.103744,0.532787
7,13,5.544051,5.030686,0.513365
7,14,4.672493,4.173418,0.499075
7,15,4.356651,3.883948,0.472703
7,16,4.30101,3.848174,0.452836
7,17,4.211719,3.774789,0.43693
7,18,4.141019,3.719642,0.421378
7,19,4.101119,3.695296,0.405823
7,20,4.021165,3.625753,0.395412
7,21,3.969765,3.584788,0.384977
7,22,3.922152,3.544254,0.377898
7,23,3.874787,3.508794,0.365993
7,24,3.825557,3.466584,0.358973
7,25,3.783478,3.433024,0.350454
7,26,3.751877,3.407802,0.344076
7,27,3.708285,3.370545,0.33774
7,28,3.680432,3.348252,0.33218
7,29,3.639369,3.31185,0.327518
7,30,3.597683,3.274153,0.32353
7,31,3.567676,3.24926,0.318416
7,32,3.554413,3.239198,0.315215
7,33,3.509973,3.198449,0.311524
7,34,3.493598,3.186135,0.307463
7,35,3.446785,3.143642,0.303143
7,36,3.433564,3.132817,0.300747
7,37,3.396365,3.098323,0.298043
7,38,3.398255,3.103677,0.294578
7,39,3.346318,3.055141,0.291177
