replica,eps_ate,pehe,co2_kg
0,0.00742,0.735318,
1,0.044173,0.888266,
2,0.324741,1.186124,
3,0.314486,1.209119,
4,0.214406,1.325721,
5,0.104151,0.936333,
6,0.326429,0.891075,
7,0.095259,1.209708,
8,0.414898,4.624353,
9,0.222507,1.978684,
10,0.048718,1.042583,
11,0.117445,1.127044,
12,0.766171,5.517059,
13,0.006165,0.974518,
14,0.112461,1.238821,
15,0.255128,1.048562,
16,0.062621,1.399278,
17,0.442786,1.295499,
18,0.025401,0.944157,
19,0.285862,1.050579,
20,0.300809,1.964286,
21,0.15499,0.872334,
22,0.216766,1.660587,
23,0.05414,1.36667,
24,0.02738,1.125152,
25,0.542619,2.513812,
26,0.318945,1.043043,
27,1.814985,7.876615,
28,0.263947,1.204758,
29,0.021296,1.154952,
30,0.128425,1.147571,
31,0.105753,0.882766,
32,0.200134,1.01767,
33,0.400675,9.311035,
34,0.09202,1.451149,
35,0.218076,1.654242,
36,0.637929,2.760295,
37,0.220362,1.039862,
38,0.283931,1.887754,
39,0.137909,1.452019,
40,0.091791,0.822524,
41,0.052826,0.8473,
42,0.028444,1.091043,
43,0.299118,1.417639,
44,0.283837,1.874428,
45,0.033708,1.31519,
46,0.433283,1.523869,
47,0.075729,1.103411,
48,0.349969,2.517375,
49,0.058969,1.172923,
50,0.198154,0.997716,
51,0.190069,1.056944,
52,0.190545,2.370486,
53,0.249567,1.993106,
54,0.052944,1.036797,
55,0.336684,0.90321,
56,0.168955,0.64339,
57,0.58413,1.810877,
58,0.330114,0.991298,
59,0.032507,2.799163,
60,0.077264,0.790402,
61,0.136575,1.070909,
62,0.05402,1.218395,
63,0.09546,1.016352,
64,0.149897,1.559783,
65,0.174227,1.134474,
66,0.001678,0.897591,
67,1.935771,5.028055,
68,0.254362,0.842277,
