rep,lin_mmd_b,rbf_mmd_b,knn_overlap_b,tail_ipm_b,rho_b,mmd_sim_b,mmd_dsim_b,smd_latent_b_sim,smd_latent_b_dsim,lin_mmd_s,rbf_mmd_s,knn_overlap_s,tail_ipm_s,rho_s,mmd_sim_s,mmd_dsim_s,smd_latent_s_sim,smd_latent_s_dsim,mse_factual_b,mse_factual_s,ov_sim,ov_dsim,smd_sim,smd_dsim,pehe_b,pehe_s,delta_mmd,delta_pehe
1,0.006608165800571442,0.010948024377921639,0.9077380952380952,1.7539726495742798,0.8989913032134604,0.031632558303842484,0.012783359076364631,0.542287290096283,0.45492157340049744,0.022382359951734543,0.013748109474865045,0.8422619047619048,5.311239242553711,0.9145174141760586,0.08949702801894,0.014439679967637287,0.4902668595314026,0.18435056507587433,27.77737808227539,27.715360641479492,0.9629629629629629,0.8901303538175046,0.5503619313240051,0.43485012650489807,5.397705078125,5.255296230316162,0.0028000850969434055,-0.1424088478088379
2,0.017874546349048615,0.025163972443646543,0.8497023809523809,1.2980424165725708,0.9210797596733141,0.02864451794377343,0.03438449929956977,0.4852314293384552,0.5535961985588074,0.12827929854393005,0.023004023848589572,0.7723214285714286,4.706852436065674,0.9747005739099577,0.03272517722088941,0.031145073823670266,0.2390359342098236,0.3840672969818115,19.072935104370117,12.775111198425293,0.9925925925925926,0.8212290502793296,0.40074026584625244,0.5310290455818176,5.320033073425293,5.751517295837402,-0.002159948595056971,0.4314842224121094
3,0.0222043264657259,0.021801124003226646,0.8169642857142857,1.793120265007019,0.9382708061796827,0.04138668749563812,0.034711592414500614,0.5865727663040161,0.5801380276679993,0.2893383800983429,0.023590614940002808,0.7976190476190477,6.356143474578857,0.8271586504099294,0.03844981063825226,0.04072827057630257,0.27875110507011414,0.43212616443634033,83.81217193603516,76.65248107910156,0.8666666666666667,0.8063314711359404,0.5177270770072937,0.4581981897354126,9.403029441833496,9.609614372253418,0.0017894909367761613,0.20658493041992188
4,0.014342883601784706,0.021856803054569163,0.8973214285714286,1.2418495416641235,0.8119081638708731,0.018802001757441844,0.03213724079243796,0.47929704189300537,0.5232094526290894,0.07141707092523575,0.028506354284133173,0.8020833333333334,4.333359241485596,0.9673036187234492,0.014174519976792865,0.0502975551995305,0.30851078033447266,0.39192551374435425,71.22880554199219,37.300010681152344,0.9703703703703703,0.8919925512104283,0.3417448103427887,0.42714250087738037,14.623197555541992,12.774263381958008,0.00664955122956401,-1.8489341735839844
5,0.007248801179230213,0.010743843957431998,0.8645833333333334,1.5853427648544312,0.858174939150455,0.0580116746060676,0.013005068591912305,0.8586463332176208,0.37113675475120544,0.03261525183916092,0.008756985757027547,0.8392857142857143,5.32907247543335,0.9142573963686985,0.0634576325387276,0.010564785620870598,0.39661672711372375,0.18731902539730072,13.811842918395996,5.986003398895264,0.7851851851851852,0.8715083798882681,0.5572892427444458,0.41362130641937256,9.425392150878906,6.887186050415039,-0.001986858200404451,-2.538206100463867
6,0.007473165635019541,0.021088032324279693,0.8720238095238095,1.6416869163513184,0.8909149114941839,0.030867522120790913,0.028110799459511226,0.5998153686523438,0.5231147408485413,0.09284112602472305,0.03841821952543922,0.8065476190476191,5.261139869689941,0.9140303835986799,0.030224103659650003,0.05528858585814145,0.40062668919563293,0.4644058644771576,6.920429706573486,7.0567803382873535,0.9333333333333333,0.8566108007448789,0.6638684272766113,0.4703702926635742,4.914917945861816,4.77688455581665,0.01733018720115953,-0.13803339004516602
7,0.012006690725684166,0.020464600681200706,0.8526785714285714,1.3799412250518799,0.9127139194025953,0.03374717235788871,0.01951460747902989,0.6334134340286255,0.4588663578033447,0.03726479038596153,0.015027452167273858,0.8229166666666666,3.839381217956543,0.8782997793177204,0.04007260836021764,0.020871859036675988,0.1693972796201706,0.28164470195770264,32.80974578857422,37.372291564941406,0.8740740740740741,0.8659217877094972,1.6929858922958374,0.44156038761138916,5.76276159286499,6.571174144744873,-0.005437148513926848,0.8084125518798828
8,0.011462806724011898,0.013884984488268581,0.8571428571428571,1.468590259552002,0.8602693598759549,0.05202905662715984,0.01599287561304119,0.6999718546867371,0.4757632613182068,0.11691107600927353,0.010001307747195987,0.7931547619047619,5.30825138092041,0.9251853255676779,0.055130162603829636,0.01362539904723481,0.519916296005249,0.3231930136680603,2283.239501953125,2203.901611328125,0.8666666666666667,0.8584729981378026,0.6667844653129578,0.38622528314590454,836.702392578125,832.5948486328125,-0.0038836767410725948,-4.1075439453125
9,0.0403585359454155,0.025915382197052583,0.8630952380952381,1.9749253988265991,0.843782451521293,0.04725384791038323,0.03277428808836025,0.660261332988739,0.5520129203796387,3.010904312133789,0.018283757350447294,0.8333333333333334,17.667804718017578,0.9093412212004767,0.014866898458788746,0.026623656437206433,0.30319836735725403,0.353228360414505,498.8260803222656,148.80349731445312,0.8148148148148148,0.8547486033519553,0.5752221345901489,0.44554609060287476,94.74544525146484,154.38893127441406,-0.007631624846605289,59.64348602294922
10,0.011801954358816147,0.016410683835697437,0.8377976190476191,1.6576262712478638,0.8379069102509251,0.023656373711337886,0.01922738597459195,0.4990807771682739,0.5217021107673645,0.2685314118862152,0.006551804125560667,0.8363095238095238,12.089076042175293,0.9470240747525674,0.06212928932260631,0.006904284818721185,0.32325583696365356,0.5142307281494141,36.829368591308594,13.885489463806152,0.9851851851851852,0.8026070763500931,0.46216025948524475,0.38554540276527405,13.662392616271973,10.995352745056152,-0.00985887971013677,-2.6670398712158203
11,0.003735241247341037,0.007487252303904568,0.9077380952380952,1.8522636890411377,0.8763692435486846,0.03913586887367371,0.010813189913097543,0.5349412560462952,0.42660796642303467,0.0355818048119545,0.0027766228708761,0.8467261904761905,8.570079803466797,0.9245497422698682,0.018098807889904922,0.005896776388220948,0.3960210978984833,0.2503744661808014,118.08133697509766,95.0322036743164,0.9037037037037037,0.8975791433891993,0.8131095170974731,0.36525866389274597,22.3376407623291,18.896883010864258,-0.004710629433028468,-3.4407577514648438
12,0.021344492211937904,0.02550491562398205,0.8645833333333334,1.873116135597229,0.8464059798205467,0.029767614190549185,0.021141248062945484,0.5466335415840149,0.47569581866264343,0.37658774852752686,0.024065571246924322,0.8556547619047619,9.53636360168457,0.9235718335123005,0.039102484007129346,0.01582011954874296,0.3855876624584198,0.18157023191452026,4731.9345703125,4325.9853515625,0.9777777777777777,0.8417132216014898,0.4467807710170746,0.38911864161491394,1425.978271484375,1376.5655517578125,-0.0014393443770577274,-49.4127197265625
13,0.04510371387004852,0.0151718917078838,0.8824404761904762,2.082279682159424,0.8890820062815364,0.02271003808546923,0.017007687039546915,0.3978869318962097,0.4960702955722809,3.614762544631958,0.010836569541991081,0.8601190476190477,21.002622604370117,0.9292094571147443,0.009740484480150413,0.00899992910167735,0.22749556601047516,0.3034597635269165,14.490164756774902,746.3780517578125,0.9925925925925926,0.8677839851024208,0.41256871819496155,0.5082330703735352,13.405054092407227,257.1534729003906,-0.004335322165892719,243.7484188079834
