rep,lin_mmd_b,rbf_mmd_b,knn_overlap_b,tail_ipm_b,rho_b,rbf_mmd_g0_b,rbf_mmd_g1_b,rbf_mmd_local_b,lin_mmd_s,rbf_mmd_s,knn_overlap_s,tail_ipm_s,rho_s,rbf_mmd_g0_s,rbf_mmd_g1_s,rbf_mmd_local_s
1,0.006608165800571442,0.010948024377921639,0.9077380952380952,1.7539726495742798,0.8989913694661615,0.031632558303842484,0.012783359076364631,0.016570028564027593,0.022382359951734543,0.013748109474865045,0.8422619047619048,5.311239242553711,0.9145174141760586,0.03480424221959799,0.02097867545081722,0.023756133060616927
2,0.017874546349048615,0.025163972443646543,0.8497023809523809,1.2980424165725708,0.9210797866805674,0.02864451794377343,0.03438449929956977,0.03323137804505711,0.12827929854393005,0.023004023848589572,0.7723214285714286,4.706852436065674,0.9747005739099577,0.013094082604686808,0.03694605443730725,0.03215436366736118
3,0.0222043264657259,0.021801124003226646,0.8169642857142857,1.793120265007019,0.9382708025757475,0.04138668749563812,0.034711592414500614,0.03605257133705057,0.2893383800983429,0.023590614940002808,0.7976190476190477,6.356143474578857,0.8271586504099294,0.033602605452415224,0.03918697851226349,0.038065117852918974
4,0.014342883601784706,0.021856803054569163,0.8973214285714286,1.2418495416641235,0.811908226935396,0.018802001757441844,0.03213724079243796,0.029458286522014633,0.07141707092523575,0.028506354284133173,0.8020833333333334,4.333359241485596,0.9673036187234492,0.020593792549682743,0.051858758278963024,0.045577849985134394
5,0.007248801179230213,0.010743843957431998,0.8645833333333334,1.5853427648544312,0.8581749315215614,0.0580116746060676,0.013005068591912305,0.02204657426439886,0.03261525183916092,0.008756985757027547,0.8392857142857143,5.32907247543335,0.9142573963686985,0.06303685334019826,0.01143377687941316,0.021800466346981597
6,0.007473165635019541,0.021088032324279693,0.8720238095238095,1.6416869163513184,0.890914898473427,0.030867522120790913,0.028110799459511226,0.028664605351286163,0.09284112602472305,0.03841821952543922,0.8065476190476191,5.261139869689941,0.9140303835986799,0.04665619286342715,0.055900221302940256,0.05404316201821664
7,0.012006690725684166,0.020464600681200706,0.8526785714285714,1.3799412250518799,0.9127139130730685,0.03374717235788871,0.01951460747902989,0.02237382810201492,0.03726479038596153,0.015027452167273858,0.8229166666666666,3.839381217956543,0.8782997793177204,0.03163872790208555,0.02427520001052541,0.025754480167312046
8,0.011462806724011898,0.013884984488268581,0.8571428571428571,1.468590259552002,0.860269345796092,0.05202905662715984,0.01599287561304119,0.023232286977484667,0.11691107600927353,0.010001307747195987,0.7931547619047619,5.30825138092041,0.9251853255676779,0.03775081850388251,0.016648546840005274,0.02088784248676633
9,0.0403585359454155,0.025915382197052583,0.8630952380952381,1.9749253988265991,0.8437824824383088,0.04725384791038323,0.03277428808836025,0.03568312823117736,3.010904312133789,0.018283757350447294,0.8333333333333334,17.667804718017578,0.9093412212004767,0.03089792594782803,0.02255296376211824,0.024229407058354583
10,0.011801954358816147,0.016410683835697437,0.8377976190476191,1.6576262712478638,0.8379069128977463,0.023656373711337886,0.01922738597459195,0.020117137975277515,0.2685314118862152,0.006551804125560667,0.8363095238095238,12.089076042175293,0.9470240747525674,0.048306679285676335,0.006190616129373772,0.014651432388452412
