replica,eps_ate,pehe,co2_kg
0,0.132108,1.043529,
1,0.127562,1.061842,
2,0.236615,1.095899,
3,0.475937,1.485406,
4,0.231295,1.356289,
5,0.339615,0.970688,
6,0.252961,1.034712,
7,0.154268,1.329125,
8,1.476143,4.850818,
9,0.151971,2.624197,
10,0.008082,1.492486,
11,0.149718,1.55437,
12,0.144164,5.2931,
13,0.031877,1.122209,
14,0.101458,1.217182,
15,0.156549,1.134128,
16,0.261018,1.49079,
17,0.412245,1.181299,
18,0.172534,1.23745,
19,0.400375,1.332595,
20,0.273561,1.929731,
21,0.206262,1.027714,
22,0.07951,1.605423,
23,0.503033,1.738021,
24,0.25213,1.067882,
25,0.907463,2.513945,
26,0.021478,1.24967,
27,1.705177,8.449369,
28,0.141666,1.373065,
29,0.139527,1.553058,
30,0.316645,1.26635,
31,0.030107,0.943366,
32,0.084733,1.455397,
33,0.685578,9.336091,
34,0.088464,1.650687,
35,0.201323,2.014829,
36,0.648626,2.901001,
37,0.248156,1.365873,
38,0.20539,2.192273,
39,0.105885,1.604558,
40,0.080752,1.161648,
41,0.071346,1.092168,
42,0.152099,1.332152,
43,0.026109,1.47817,
44,0.097422,1.972644,
45,0.142886,1.363881,
46,0.779754,1.99184,
47,0.081862,1.516328,
48,0.049932,2.661037,
49,0.102011,1.135262,
