epoch,lr,train_base,train_ctr,train_total,val_total
1,1e-05,59.24192810058594,0.7191144029299418,59.961043463812935,59.732190450032554
2,1e-05,35.400099436442055,0.7176944812138876,36.11779382493761,38.55596033732096
3,1e-05,29.464839511447483,0.7186982300546434,30.18353780110677,35.64002927144369
4,1e-05,26.28860855102539,0.7188109093242221,27.00741916232639,30.476762135823567
5,1e-05,28.962945726182724,0.7186906006601121,29.681636174519856,33.88290468851725
6,1e-05,23.693329705132378,0.7183352377679613,24.411664962768555,31.932396570841473
7,1e-05,22.9779601626926,0.7182624472512139,23.696222729153103,32.837738037109375
8,1e-05,24.043853335910374,0.7185171378983392,24.762370427449543,30.82152557373047
9,1e-05,22.65044445461697,0.718267579873403,23.368712107340496,34.87986437479655
10,5e-06,22.67752244737413,0.7181820538308885,23.39570426940918,31.676291783650715
11,5e-06,21.287090725368923,0.7178713083267212,22.0049622853597,31.0267391204834
12,5e-06,20.97438367207845,0.7179194490114847,21.692303127712673,29.971437454223633
13,5e-06,22.032650417751736,0.7179577416843839,22.750608444213867,29.39819590250651
14,5e-06,20.958048078748917,0.7176653080516391,21.675713221232098,30.505853017171223
15,5e-06,20.175865173339844,0.7179259260495504,20.89379098680284,31.724679311116535
16,5e-06,20.717761993408203,0.7179396218723721,21.435701582166885,32.60897890726725
17,5e-06,22.591982947455513,0.7178096042739021,23.30979283650716,29.538775126139324
18,5e-06,19.940712398952908,0.7176710367202759,20.658383263481987,28.890090942382812
19,5e-06,21.204835679796005,0.7176405390103658,21.922476238674587,31.153650283813477
20,5e-06,20.54824553595649,0.7175281577640109,21.265773561265732,30.328980763753254
21,5e-06,21.058502621120876,0.71764694319831,21.77614974975586,32.10250345865885
22,5e-06,21.50722270541721,0.7176168693436517,22.22483952840169,35.18337376912435
23,5e-06,19.858474731445312,0.7175026734670004,20.57597753736708,28.4849796295166
24,5e-06,19.28484450446235,0.717473566532135,20.00231785244412,31.922170639038086
25,5e-06,19.90485339694553,0.7174113326602511,20.622264862060547,30.010961532592773
26,5e-06,19.512629826863606,0.7174387176831564,20.230068418714737,29.90382194519043
27,5e-06,19.878152423434788,0.7172948585616218,20.595447540283203,28.758230209350586
28,5e-06,19.25823826260037,0.71733248896069,19.975570678710938,29.676414489746094
29,2.5e-06,19.29740481906467,0.717320462067922,20.01472494337294,31.096684137980144
30,2.5e-06,20.28676329718696,0.7173896431922913,21.00415293375651,30.73634910583496
31,2.5e-06,18.646028730604385,0.717369430594974,19.36339823404948,29.22096125284831
32,2.5e-06,18.650439792209202,0.7173663841353523,19.367806328667534,28.963907877604168
33,2.5e-06,19.22694884406196,0.7174015045166016,19.944350136650932,32.693581899007164
34,2.5e-06,19.7752874162462,0.7173786494466994,20.49266603257921,30.51380666097005
35,2.5e-06,19.290490468343098,0.7173725631501939,20.007863150702583,28.201060612996418
36,2.5e-06,18.46736028459337,0.7172984944449531,19.18465847439236,32.397116343180336
37,2.5e-06,20.443726857503254,0.7172922492027283,21.161019219292534,29.908640543619793
38,2.5e-06,18.431237538655598,0.7172552810774909,19.148492919074165,29.062397003173828
39,2.5e-06,18.165311601426865,0.7172269423802694,18.882538689507378,28.019301732381184
40,2.5e-06,18.19065284729004,0.717170364326901,18.907823350694443,30.063443501790363
41,2.5e-06,18.0735535091824,0.7172620031568739,18.790815565321182,28.763795216878254
42,2.5e-06,18.831958770751953,0.717099752691057,19.54905849032932,29.229533513387043
43,2.5e-06,18.562028461032444,0.7171869476636251,19.279215494791668,29.958728154500324
44,2.5e-06,18.723181194729275,0.7172970771789551,19.440478218926323,28.583305994669598
45,1.25e-06,19.429854816860622,0.7172071470154656,20.147062301635742,30.260583877563477
46,1.25e-06,19.089868121676975,0.7172107232941521,19.807078891330296,30.079252243041992
47,1.25e-06,17.935281329684788,0.7171118060747782,18.652392811245388,28.798900604248047
48,1.25e-06,17.681911044650608,0.7171746492385864,18.39908568064372,28.88119061787923
49,1.25e-06,17.703197797139484,0.7171213693088956,18.420319239298504,28.324013392130535
50,1.25e-06,17.659789191351997,0.717080295085907,18.376869413587784,28.421480814615887
51,6.25e-07,17.723275078667534,0.7171241243680319,18.440399169921875,30.39392026265462
52,6.25e-07,17.89575915866428,0.7170543803109063,18.61281352572971,28.481558481852215
53,6.25e-07,17.560643831888836,0.7170961499214172,18.277740054660374,28.589913686116535
54,6.25e-07,17.493168089124893,0.7170777453316582,18.210245874192978,28.552757898966473
55,6.25e-07,17.556838883294,0.7170535458458794,18.273892084757488,28.664382298787434
56,6.25e-07,17.506079779730904,0.7170414725939432,18.223121219211155,28.68542989095052
57,3.125e-07,17.483064545525444,0.7170191407203674,18.200083520677353,28.350199381510418
58,3.125e-07,17.438266542222763,0.7170461416244507,18.15531285603841,28.8306458791097
59,3.125e-07,17.503533787197536,0.7170285714997185,18.22056229909261,29.027027765909832
