trial_id,margin,optim,activation,lr,batch_size,eps_ate,pehe,co2_kg
trial_0,0.4370861069626263,adam,relu,1e-05,32,0.193819,1.131079,
trial_1,0.1185260448662222,adam,relu,1e-05,32,0.177774,1.098667,
trial_2,0.6506676052501416,sgd,tanh,1e-05,64,0.202053,1.411708,
trial_3,0.6467903667112945,adam,elu,1e-05,64,0.175244,1.109376,
trial_4,0.20983441136030095,adam,relu,1e-05,64,0.167914,1.138366,
trial_5,0.9726261649881027,sgd,tanh,1e-05,128,0.172611,1.108934,
trial_8,0.8767930832880342,adam,tanh,1e-05,64,0.177631,1.135329,
trial_11,0.9420469361976699,sgd,tanh,1e-05,128,0.170269,1.164820,
