trial_id,margin,optim,activation,lr,batch_size,eps_ate,pehe,co2_kg
trial_0,0.4370861069626263,adam,relu,1e-05,32,0.304811,2.216487,
trial_1,0.1185260448662222,adam,relu,1e-05,32,0.290216,2.336083,
trial_2,0.6506676052501416,sgd,tanh,1e-05,64,0.302319,2.647698,
trial_3,0.6467903667112945,adam,elu,1e-05,64,0.318689,2.727447,
trial_4,0.20983441136030095,adam,relu,1e-05,64,0.313182,2.810203,
