replica,eps_ate,pehe,co2_kg
0,0.369807,0.760838,
1,0.06572,1.444618,
2,0.099124,0.75412,
3,0.612382,2.39689,
4,0.715385,2.760836,
5,0.134994,0.52528,
6,0.194825,0.686987,
7,0.480178,0.871325,
8,18.114039,27.28439,
9,0.748314,7.961752,
10,0.172679,1.389682,
11,1.292722,3.229984,
12,16.955669,32.818829,
13,0.123178,0.687719,
14,0.065463,2.627726,
15,0.36689,1.83671,
16,1.149358,4.046122,
17,0.304164,1.65598,
18,0.061005,1.339107,
19,0.296124,1.231445,
20,2.748495,8.974162,
21,0.184094,0.789189,
22,0.934304,3.926095,
23,1.277363,4.280665,
24,0.038557,1.194827,
25,9.193714,15.944639,
26,0.388681,1.278416,
27,19.00461,37.625208,
28,0.514319,1.138758,
29,0.5149,1.990456,
30,0.157191,1.286316,
31,0.222999,0.860146,
32,0.035799,1.431007,
33,8.776628,40.120305,
34,2.826245,5.43782,
35,2.542001,7.318919,
36,0.909796,10.298814,
37,0.478026,1.149078,
38,5.149491,9.613146,
39,0.12069,3.26168,
40,0.37462,0.826308,
41,0.053857,0.956762,
42,0.834992,1.915932,
43,0.822322,3.101244,
44,0.108378,4.615805,
45,1.707902,3.783627,
46,1.494574,3.942813,
47,0.454758,1.335007,
48,1.107995,4.540829,
49,0.344901,0.852985,
50,0.823254,1.769332,
51,0.974572,2.985811,
52,5.056674,13.372129,
53,0.517917,4.116214,
54,0.174268,0.784557,
55,0.471609,0.758205,
56,0.012897,0.500713,
57,1.444638,3.825789,
58,0.25564,1.157251,
59,0.272776,13.307033,
60,0.009021,0.959629,
61,0.581142,1.24018,
62,0.521237,1.488803,
63,0.056184,1.100676,
64,0.101618,3.466299,
65,0.08441,1.208642,
66,0.113586,1.069438,
67,13.367248,24.907374,
68,0.149363,0.669451,
69,0.029445,0.564373,
70,2.441003,7.486207,
71,0.262983,0.661583,
72,0.109765,1.259292,
73,0.099814,0.751165,
74,0.282595,0.572085,
75,0.879402,6.614953,
76,0.62963,1.503337,
77,0.205731,0.942442,
78,0.33924,0.993248,
79,0.135223,0.648217,
80,15.720041,24.125066,
81,0.33113,13.445694,
82,0.956607,4.60024,
83,3.212317,17.508781,
84,1.406122,19.836985,
